image,opcode,length_mm,family,genus,species,count
008354,Deployment1,172.45776079264797,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,172.45776079264797,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,172.45776079264797,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,174.783702615749,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,174.783702615749,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,174.783702615749,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,149.83665678297675,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,149.83665678297675,Pomacentridae,Abudefduf,troschelii,1
008354,Deployment1,149.83665678297675,Pomacentridae,Abudefduf,troschelii,1
008600,Deployment1,100.01266703138917,Labridae,Thalassoma,lucasanum,1
008600,Deployment1,100.01266703138917,Labridae,Thalassoma,lucasanum,1
008600,Deployment1,79.91408368023185,Labridae,Thalassoma,lucasanum,1
008600,Deployment1,79.91408368023185,Labridae,Thalassoma,lucasanum,1
